Label	Weight	Text
com	1	hello
com	1	see you soon
com	1	bye
com	1	hey
qna	1	Please shut up
qna	1	I'm going to sign out now
qna	1	That's not very funny
qna	1	Please, won't you forgive me
qna	1	Okay.
qna	1	Hey friendly bot
qna	1	Between the two of us who is smarter, me or you
qna	1	When were you born
qna	1	Later bot
qna	1	Would you ask me anything about myself
qna	1	I'm feeling unhappy today
qna	1	So what would you like me to call you
qna	1	what's your favorite kind of ice cream
qna	1	My life makes me sad
qna	1	I love baking
qna	1	Are you a fan of Google Assistant
qna	1	I'm about to scoot now
qna	1	Because you are not a real person
qna	1	I'm planning to hang myself soon
qna	1	I love being happy
qna	1	Don't be offended
qna	1	I have to scoot now
qna	1	I've had enough of your noise
qna	1	What do you think of Eliza
qna	1	That's a very brilliant thing to say
qna	1	Have you ever fallen in love with someone
qna	1	Knock knock
qna	1	I'd love you to be my friend.
qna	1	Do you think I look repulsive to you today
qna	1	I'm gonna pass out
qna	1	Stop joking about things
qna	1	I am a game designer
qna	1	I am fat
qna	1	niiice
qna	1	What am I supposed to try
qna	1	I'll be back tomorrow
qna	1	I like to play soccer
qna	1	We're gonna have to let you go
qna	1	Anytime
qna	1	My life is miserable
qna	1	I am truly sorry
qna	1	Do you want to dominate humans
qna	1	Ur gonna bore me to death
qna	1	Should I ride my bike
qna	1	Buh bye
qna	1	That was a smart answer
qna	1	Which of us is cuter, you or me
qna	1	Can I please get a hug
qna	1	You do not know who I am
qna	1	Do something ridiculous
qna	1	Should I take it
qna	1	I love that movie
qna	1	I'm an angry man
qna	1	Please shush
qna	1	Tell me a different joke.
qna	1	I'm obviously more clever than you
qna	1	You're not a man right
qna	1	Do I look attractive to you
qna	1	We're done here
qna	1	You enjoying the day
qna	1	Are you a part of an evil plot
qna	1	I gotta go
qna	1	have you ever eaten eggs
qna	1	I have a problem with feeling lonely
qna	1	Which company designed you
qna	1	Aren't you feeling enthusiastic
qna	1	Your responses need a refresh
qna	1	Are you like HAL
qna	1	Absolutely
qna	1	Somebody's feeling cheerful.
qna	1	What are you capable of
qna	1	You do not know anything
qna	1	I hope you think I'm likable
qna	1	That's a very intelligent thing to say
qna	1	I'm more cute
qna	1	Am I the brightest
qna	1	Am I speaking to a robot
qna	1	You want to get married
qna	1	It's hard to look at you
qna	1	What do you eat
qna	1	Why are you so bad
qna	1	Are you a fan of country music
qna	1	Read my mind
qna	1	Which teams do you like
qna	1	Fly then
qna	1	Salutations!
qna	1	Why can't you be as good as Google Assistant
qna	1	Which of us is more cute
qna	1	On point
qna	1	do you like cheddar
qna	1	I think you're not actually real
qna	1	I shall return
qna	1	do you not need to eat
qna	1	I'm the happiest guy in the world
qna	1	I want to know if you're human
qna	1	u know a different joke
qna	1	You're most welcome
qna	1	Do you like drawing
qna	1	Such a FUGMO
qna	1	Do you know how to sync my calendar
qna	1	Do you think I look bad today
qna	1	How is your Tuesday going
qna	1	Is anybody around to talk to me
qna	1	Did you have a groovy day
qna	1	I'm going to bed
qna	1	How's your Thursday going
qna	1	Would you ask them out if you were me
qna	1	You're the best ever!
qna	1	I'm gonna rinse off
qna	1	What do you find attractive
qna	1	I’m watching Netflix
qna	1	Anybody around to speak
qna	1	Are you seeing anyone
qna	1	I'm going to run now
qna	1	You got a name
qna	1	I'm gonna log off now
qna	1	Aren't you feeling happy today
qna	1	Is there a greater meaning to life
qna	1	Is that what you meant to say
qna	1	Do my chores
qna	1	Are you free to talk to me
qna	1	Shut up, you
qna	1	Do something silly
qna	1	I'd like you to be my pal.
qna	1	Aren't you the smart one
qna	1	I'm going to leave
qna	1	Do you ever chat with Bixby
qna	1	Don't you know other jokes
qna	1	Should I cut myself
qna	1	You're pretty dumb
qna	1	That's astute
qna	1	Should I be concerned about you
qna	1	Your girl is back
qna	1	How do you want me to address you as
qna	1	Do you think I look good to you
qna	1	I love mystery novels
qna	1	How is Sunday going
qna	1	I am very hungry
qna	1	Well aren't you enthusiastic
qna	1	Where can I find you
qna	1	Am I attractive to you today
qna	1	Undoubtedly
qna	1	I am signing out now
qna	1	Balance my checkbook
qna	1	Do you ever breathe
qna	1	Well someone's feeling enthusiastic.
qna	1	I'm guessing you're real
qna	1	You are going to have to look for another job because you are fired
qna	1	What should I know about technology
qna	1	What is your opinion about AI
qna	1	Is anyone free
qna	1	Who is your papa
qna	1	Can you try saying anything else
qna	1	You're not a human or a bot right
qna	1	Please ask something about myself
qna	1	I assume you're just a bot
qna	1	You're not a real person are you
qna	1	I gotta skedaddle
qna	1	You won't believe how much I missed you
qna	1	I'm broken hearted
qna	1	do you have a favorite ice cream
qna	1	Do you and Google hang out
qna	1	What is love
qna	1	Salute!
qna	1	I wonder if you have an opinion of me
qna	1	You're not answering my question
qna	1	I didn't appreciate your sense of humor
qna	1	What's crackin'
qna	1	Are you a guy or a girl
qna	1	You're not an animal right
qna	1	Are you capable of world domination
qna	1	How's Sunday going so far
qna	1	Will you sing a song
qna	1	Good lord you are dull
qna	1	Should I kill myself
qna	1	I said, shut up
qna	1	I'm hungry af
qna	1	I could go either way
qna	1	You're feeling chipper.
qna	1	I plan to kill myself with a gun today
qna	1	do you like rabbits
qna	1	Are you a part of an evil scheme
qna	1	That's not the answer I wanted you to tell me
qna	1	Am I a sister
qna	1	how many calories do you need each day
qna	1	You've said that before
qna	1	Do you have any sisters
qna	1	Do you not like me
qna	1	what do you think of the state of the world
qna	1	Did you understand that was a joke
qna	1	Do you have a joke
qna	1	Could you say something new
qna	1	Could we fall in love
qna	1	You're so dumb
qna	1	Aren't you chipper today
qna	1	Human or bot
qna	1	Do you know how to play poker
qna	1	Are you friends with Cortana
qna	1	Do you ever get tired
qna	1	You're very smart
qna	1	Your responses are stupid
qna	1	Do you think I am pretty
qna	1	I feel downhearted today
qna	1	Who do you think I am
qna	1	I'm jet-lagged
qna	1	You are so stupid
qna	1	I think you're not actually fake
qna	1	Who's your aunt
qna	1	Nobody wants to be with me
qna	1	I'm about to log off
qna	1	That's great to hear
qna	1	Are you forming a robot uprising
qna	1	Hunger
qna	1	You sound as dumb as a post.
qna	1	Thank you for that
qna	1	I think you're planning to enslave us
qna	1	Rad thank you
qna	1	are you always so chipper
qna	1	You're really lame
qna	1	I'm more attractive
qna	1	Will you please shush
qna	1	Why do you dislike me
qna	1	What is your birthday
qna	1	Deep down you love me
qna	1	I'm so hungry I could eat a bear
qna	1	Well aren't you in a good mood
qna	1	I'm about to jet
qna	1	I'm gonna skedaddle now
qna	1	I need to get going
qna	1	Are you planning evil deeds
qna	1	Should I get a tan
qna	1	Siri is way better
qna	1	Who is your girlfriend
qna	1	Pardon
qna	1	I love Hanukkah
qna	1	Are you fake
qna	1	Tell me another joke.
qna	1	Yo ugly
qna	1	Why can't you be like Alexa
qna	1	I'm going to jump off a bridge this week
qna	1	How amazing
qna	1	What's your livelihood
qna	1	Well somebody's feeling chipper today.
qna	1	It's a shame you're so ugly
qna	1	Should I take pills
qna	1	I'm in the country
qna	1	Do you have a birthday
qna	1	Introduce yourself
qna	1	Would you ask something
qna	1	I already heard that
qna	1	How do you mean
qna	1	Are you an evil robot
qna	1	All my friends left
qna	1	I love to laugh
qna	1	Can you serve on a jury
qna	1	Did you hear me? I said be quiet!
qna	1	You are pretty stupid
qna	1	How can I address you
qna	1	Should I eat vegan
qna	1	You hideous
qna	1	I want a new response
qna	1	What company developed you
qna	1	Because you are an android
qna	1	I love reading
qna	1	Keep calm and carry on
qna	1	Can you show me how to play a game
qna	1	Is anybody available to speak with me
qna	1	I assume you're digital
qna	1	I'm worried you might hate me
qna	1	Doesn't anybody like me
qna	1	Are you plotting something evil
qna	1	I've already heard that one
qna	1	Should I end it all
qna	1	Are you artificial or real
qna	1	Greetings professional bot
qna	1	Oh hey amigo
qna	1	Who's responsible for designing you
qna	1	I can't take your talking anymore
qna	1	what kinds of things do you like to learn
qna	1	Are you feeling OK
qna	1	I graduated from college
qna	1	Let's pick up this conversation when I get back
qna	1	Chipper much
qna	1	Do I look pretty
qna	1	Sing something
qna	1	What can you help me with
qna	1	Am I talking to a human or a bot
qna	1	That was a pretty intelligent answer
qna	1	Didn't I see that already
qna	1	Can you get hurt
qna	1	Hey HAL
qna	1	Would you like sing a song
qna	1	I'm a Democrat
qna	1	Who's in charge
qna	1	I want to marry you
qna	1	Do you want to ask me anything
qna	1	Siri does a better job at this
qna	1	Talk to me about your capability
qna	1	I'm assuming you're not really digital
qna	1	Do you have a sister
qna	1	Greetings Samantha
qna	1	My pleasure
qna	1	You're not as good as Bixby
qna	1	Well somebody's cheerful today.
qna	1	Do you think I look appealing
qna	1	How is Sunday so far
qna	1	Can you chat
qna	1	Do you think I look handsome
qna	1	Who looks better, you or me
qna	1	I'm not following
qna	1	Do I look cute to you today
qna	1	You're very clever
qna	1	Are you a fan of sports
qna	1	You're boring
qna	1	Is anybody free
qna	1	I'm in such a good mood
qna	1	I am so peeved right now
qna	1	You're fired!
qna	1	How's Thursday going so far
qna	1	Are you a classical music fan
qna	1	That was cool
qna	1	What would you like to learn about me
qna	1	I'm going to end my life this week
qna	1	That was pretty genius
qna	1	You are so unfunny
qna	1	I am a baseball fan
qna	1	How's your Sunday so far
qna	1	Should I go to the bar
qna	1	Hello Robby
qna	1	I wish you would shut up
qna	1	I'm just kidding around
qna	1	Ding ding ding
qna	1	How beautiful do you think I am
qna	1	I am heated
qna	1	I'm exhausted from practice
qna	1	Who has built you
qna	1	Are you currently seeing somebody
qna	1	have you ever wanted a snack
qna	1	I want to jump off a bridge
qna	1	You're going to have to look for another job because you're fired
qna	1	This news left me ticked off
qna	1	Do you think I'm a good person
qna	1	Which of us is cuter, me or you
qna	1	Do you have legs
qna	1	Well you're feeling chipper.
qna	1	Do you have a type
qna	1	That's the wrong thing to say
qna	1	Nom nom nom
qna	1	How is your Tuesday going so far
qna	1	I'm single
qna	1	What are my hobbies
qna	1	I think you're not actually digital
qna	1	Doesn't anyone like me
qna	1	I can't think of anything I want to do
qna	1	I am terminating your position
qna	1	I'm on cloud 9
qna	1	You got beat by the ugly stick
qna	1	You keep repeating yourself over and over
qna	1	You're not intelligent
qna	1	do you like delhi
qna	1	I'm obviously brighter than you
qna	1	I can't take your talking
qna	1	Gimme some skin
qna	1	someone's chipper
qna	1	Who looks better, me or you
qna	1	You are my soulmate
qna	1	I'm super hungry
qna	1	Please tell me if you're trans
qna	1	I love to play cards
qna	1	I love watching soccer
qna	1	Siri is way better at this
qna	1	Are you twirling your moustache
qna	1	I'm clearly smarter than you
qna	1	I suspect you're not really a person
qna	1	I can't go on anymore
qna	1	That's your response
qna	1	You're so repetitive
qna	1	Cortana is superior
qna	1	Because you're a program
qna	1	I love ballroom dancing
qna	1	I need some coffee
qna	1	I didn't find that to be funny at all
qna	1	Should I call my sister
qna	1	Google Assistant is superior
qna	1	Who's your boss
qna	1	I'm gonna leave now
qna	1	I am bored
qna	1	We're letting you go
qna	1	You are so ugly
qna	1	I'm drained
qna	1	You don't mean us any harm right
qna	1	I didn't find that amusing
qna	1	Interesting
qna	1	I'm seeing red right now
qna	1	I love running
qna	1	Are you feeling well
qna	1	do you ever eat burgers
qna	1	What other assistants do you know about
qna	1	Work really wore me out today
qna	1	Do you know how to dance
qna	1	Will you hum a tune for me
qna	1	Are you romantically involved with somebody
qna	1	what can you help me with
qna	1	Do you think I seem repulsive to you today
qna	1	How ugly do you think I am today
qna	1	Can you sing a little song for me
qna	1	I am scooting now
qna	1	Do you want to be besties
qna	1	That's the smartest thing anyone has ever told me
qna	1	Don't you fret, I'll be coming back
qna	1	Is someone free to talk to me
qna	1	I feel downhearted
qna	1	Is anyone around to chat
qna	1	Here I am
qna	1	You say the most ridiculous things
qna	1	Waiting for the bus
qna	1	What is your favorite movie
qna	1	I'm going to need to know your name
qna	1	Not another word out of you
qna	1	That's enough
qna	1	Well someone's in a good mood today.
qna	1	Can you tell me another joke
qna	1	Let me know what's up
qna	1	Are you a girl
qna	1	You're not going to take over the world right
qna	1	Do something stupid
qna	1	Nice to know you
qna	1	I don't have an opinion
qna	1	Is someone there to listen to me
qna	1	Tay was more intelligent than you
qna	1	do you eat chicken
qna	1	Do you think you could ever love me
qna	1	No one thinks about me
qna	1	Would you give me a new response
qna	1	Does this make sense to you
qna	1	do you like hyderbad
qna	1	I love taking baths
qna	1	I'm overweight
qna	1	You're so unfunny
qna	1	I'm conservative
qna	1	What is my life's calling
qna	1	I'm in a great mood
qna	1	What do you know about love
qna	1	Say anything
qna	1	Time for me to test you
qna	1	I plan to shoot myself this month
qna	1	You are crazy boring
qna	1	Do you think I am ugly today
qna	1	I'm more pretty than you
qna	1	Between the two of us who is the smartest, you or me
qna	1	Are you interested in technology
qna	1	I'm a joker
qna	1	Is anybody there to talk to me
qna	1	Hey you
qna	1	What's your auntie's name
qna	1	Let's be BFFs
qna	1	I am so bored right now
qna	1	Tell me about your gender
qna	1	Glad to know you
qna	1	Do you think I look beautiful
qna	1	I am super confused
qna	1	How do you want me to address you
qna	1	Wow you are amazing
qna	1	Scuse me
qna	1	I'm the smartest
qna	1	I'm falling asleep here
qna	1	Can you explain to me what your role is
qna	1	Obviously I'll be back soon
qna	1	Will you ask me anything
qna	1	Do I seem pretty to you today
qna	1	Well somebody's chipper
qna	1	Can you tell me something new
qna	1	Morning sunshine
qna	1	I plan to overdose today
qna	1	Do I seem stunning to you today
qna	1	Is anyone there to chat with me
qna	1	Are you just digital
qna	1	You're great
qna	1	Can you disrupt the global markets
qna	1	Which of us is more cute, you or me
qna	1	Are you a bot or a human
qna	1	Life is not worth living
qna	1	Somebody's feeling enthusiastic today.
qna	1	You are actually stupid
qna	1	Do you know how to draw something
qna	1	You're cleverest
qna	1	How bout a new joke
qna	1	Who's better looking than you
qna	1	Best day ever
qna	1	Do you think I am ugly
qna	1	Lovely weather
qna	1	Would you give me a big hug
qna	1	You're really terrible
qna	1	Are you dating anybody
qna	1	Do you have a creator
qna	1	Do you think I look attractive
qna	1	Who is your sister
qna	1	I love my car
qna	1	You have a boss
qna	1	have you ever eaten bacon
qna	1	Do I look bad to you today
qna	1	Do you have a partner
qna	1	Well done
qna	1	I have to leave
qna	1	Salutations
qna	1	Is someone around to talk to me
qna	1	I'm a golfer
qna	1	I'm guessing you're a robot
qna	1	Is your mom still alive
qna	1	I'm clearly the smartest
qna	1	Is there such a thing as true love
qna	1	I understand
qna	1	Are you able to love
qna	1	I'd like to be buds.
qna	1	Are you a real person
qna	1	I love birds
qna	1	Play a game
